__time,/cable_length/data,/hoist_motor_voltage/data,/sway_angle/data,/trolley_motor_voltage/data,/trolley_position/data
1717493139.468205,,,,,0.715222239
1717493139.483302,,,,8.727999687,
1717493139.493373,,660.000000000,,,
1717493139.500226,0.374134332,,,,
1717493139.500276,,,2.279015064,,
1717493139.503190,,,,,0.726611137
1717493139.517271,,,,8.598999977,
1717493139.527293,,652.000000000,,,
1717493139.533632,0.374089658,,,,
1717493139.533664,,,2.199836254,,
1717493139.537301,,,,,0.737555563
1717493139.550424,,,,7.897999763,
1717493139.560277,,636.000000000,,,
1717493139.567559,0.374098629,,,,
1717493139.567591,,,2.009703875,,
1717493139.570279,,,,,0.747722208
1717493139.585322,,,,7.729000092,
1717493139.595483,,606.000000000,,,
1717493139.600318,0.374109834,,,,
1717493139.600359,,,1.735240817,,
1717493139.605379,,,,,0.757777750
1717493139.614259,,,,7.531000137,
1717493139.624316,,617.000000000,,,
1717493139.632656,0.374099225,,,,
1717493139.632687,,,1.401876926,,
1717493139.634260,,,,,0.765611112
1717493139.649375,,,,7.480000019,
1717493139.659370,,784.000000000,,,
1717493139.667453,0.374091327,,,,
1717493139.667485,,,1.010065317,,
1717493139.671298,,,,,0.775555551
1717493139.684336,,,,7.611999989,
1717493139.694382,,725.000000000,,,
1717493139.699650,0.374108076,,,,
1717493139.699686,,,0.568542361,,
1717493139.704334,,,,,0.785555542
1717493139.714311,,,,7.585000038,
1717493139.724301,,725.000000000,,,
1717493139.732696,0.374111682,,,,
1717493139.732730,,,0.111505896,,
1717493139.734240,,,,,0.795277774
1717493139.749343,,,,7.501999855,
1717493139.759409,,656.000000000,,,
1717493139.767228,0.374167144,,,,
1717493139.767262,,,-0.343404949,,
1717493139.769274,,,,,0.806666672
1717493139.784380,,,,6.861999989,
1717493139.794373,,0.000000000,,,
1717493139.800179,0.374205977,,,,
1717493139.800209,,,-0.787998378,,
1717493139.804397,,,,,0.816888869
1717493139.817354,,,,6.157000065,
1717493139.827305,,0.000000000,,,
1717493139.833242,0.374237478,,,,
1717493139.833275,,,-1.222254276,,
1717493139.838319,,,,,0.824333310
1717493139.848432,,,,5.493999958,
1717493139.858436,,0.000000000,,,
1717493139.867893,0.374270052,,,,
1717493139.867933,,,-1.688648343,,
1717493139.868301,,,,,0.829444468
1717493139.884376,,,,4.993999958,
1717493139.895407,,0.000000000,,,
1717493139.899740,0.374311566,,,,
1717493139.899770,,,-2.169839859,,
1717493139.905424,,,,,0.833222210
1717493139.915392,,,,4.493000031,
1717493139.925357,,0.000000000,,,
1717493139.933057,0.374374032,,,,
1717493139.933089,,,-2.639806747,,
1717493139.935305,,,,,0.834888875
1717493139.951370,,,,3.992000103,
1717493139.960463,,0.000000000,,,
1717493139.967203,0.374419063,,,,
1717493139.967260,,,-3.158317327,,
1717493139.970318,,,,,0.834999979
1717493139.987418,,,,3.992000103,
1717493139.997471,,0.000000000,,,
1717493140.000562,0.374458730,,,,
1717493140.000588,,,-3.673676491,,
1717493140.011422,,,,,0.834666669
1717493140.022459,,,,3.434000015,
1717493140.032346,,0.000000000,,,
1717493140.033132,0.374521255,,,,
1717493140.033156,,,-4.185311794,,
1717493140.047432,,,,,0.834666669
1717493140.059432,,,,3.434000015,
1717493140.067078,0.374632150,,,,
1717493140.067151,,,-4.675327301,,
